"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262061995/0/120/90/5c3c84c343472006ad2cd18f1a689b24/16/a89e656db0deef7b54eb55bd77c08635/262061995.JPG","R2040368","S","306 370 CARRALL STREET","VVEDT","$318,000","3/1/2016","1","1","1","418","2011","5","Y",,"$191.12","Apartment/Condo","PETR, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044198/0/120/90/d29ed520a37d8bc1c09e84c07eb2c69e/16/1957d0275cc4985da818da6d83b1552b/262044198.JPG","R2022571","S","222 1330 BURRARD STREET","VVWDT","$320,000","1/4/2016","3","1","1","538","1978","38","Y",,"$262.13","Apartment/Condo","PETN, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042724/0/120/90/17288081de0839e310ebc52624e97c57/16/c51f7c1e4e0eef3a225973f4a81fc64c/262042724.JPG","R2021097","S","504 1330 HARWOOD STREET","VVWWE","$322,000","12/16/2015","40","1","1","620","1970","46",,"1","$328.00","Apartment/Condo","RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069819/0/120/90/4bfe248cdf4c81ec8d7c2d390527563c/16/40daa251f656723ee6d3367647642af2/262069819.JPG","R2048192","S","501 1045 HARO STREET","VVWWE","$325,000","3/21/2016","0","0","1","449","1980","36","N",,"$149.60","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057048/0/120/90/c068b518f4103d2a02d06c63fd137e31/16/7415f56457fc27bfeb988e72b11ea872/262057048.JPG","R2035421","S","209 22 E CORDOVA STREET","VVEDT","$325,000","2/15/2016","8","0","1","405","1997","19","N","0","$209.17","Apartment/Condo","NO, PETY, RENY"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051311/0/120/90/20e2eaf8c6595ad4759f9582b9b9caa4/16/bdb069d562d82e42be1352279236ea45/262051311.JPG","R2029684","S","907 1330 BURRARD STREET","VVWDT","$325,000","1/28/2016","6","0","1","465","1976","40",,,"$201.66","Apartment/Condo","PETN, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262072745/0/120/90/c904fcf548abab13c6a567685c691dd9/16/476ea979ddc943ddb34d848a35a5ac7d/262072745.JPG","R2051118","S","204 1146 HARWOOD STREET","VVWWE","$330,000","3/29/2016","7","1","1","500","1974","42","Y","1","$241.11","Apartment/Condo","PETN, RENY"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054244/0/120/90/b99dcece2b2522a12e7e0cc5960da3c8/16/e24f316361ca370e4b0cfd2ba22ca5d7/262054244.JPG","R2032617","S","902 1330 BURRARD STREET","VVWDT","$330,100","2/8/2016","8","1","1","464","1976","40","Y",,"$195.59","Apartment/Condo","PETN, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262075552/0/120/90/f71a31dd7da7a2a6f5c96d7ca4b1f67e/16/006e9038b930a96edcdf3a163231bec9/262075552.JPG","R2053925","S","503 1850 COMOX STREET","VVWWE","$333,000","4/5/2016","7","1","1","651","1968","48","Y","1","$332.00","Apartment/Condo","AGER, PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262047871/0/120/90/e9dd3d9d59f10dde4f586d0a1bcc3ed3/16/053afbb6c7d737296ffd538327e161c6/262047871.JPG","R2026244","S","412 1718 NELSON STREET","VVWWE","$334,000","1/19/2016","9","1","1","469","1975","41","Y","1","$270.00","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054487/0/120/90/71e9c11d9b423fcfca373fa0dbce5f22/16/67ead7a0a5b8096babde8918f5def3ae/262054487.JPG","R2032860","S","108 1169 NELSON STREET","VVWWE","$335,000","2/9/2016","7","1","1","642","1981","35","Y","1","$371.89","Apartment/Condo","PETR, RENR"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262055261/0/120/90/a241bea9b409c6aa783f595173337309/16/409d7350b6d11da5fbd1da78c003de5a/262055261.JPG","R2033634","S","1006 1146 HARWOOD STREET","VVWWE","$340,000","2/10/2016","5","1","1","585","1974","42","Y",,"$280.54","Apartment/Condo","PETN, RENY"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262043095/0/120/90/dd4a528581f21d961212a3fff051c96b/16/8cd6763bba1a572fc5d290fb26dfa135/262043095.JPG","R2021468","S","811 1333 W GEORGIA STREET","VVWCB","$340,000","12/21/2015","21","0","1","420","2006","10","Y",,"$195.26","Apartment/Condo","PETR, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262061412/0/120/90/add09e82a4af511bfbc7f70639146d3a/16/e471b259a9281aba99380571e4fa3837/262061412.JPG","R2039785","S","210 22 E CORDOVA STREET","VVEDT","$340,000","2/26/2016","10","0","1","400","1997","19","N","0","$209.17","Apartment/Condo","NO, PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054138/0/120/90/ec3758055efc76e3c3baee7c038af88a/16/691429457f13db9efa1619ad2b9f75ef/262054138.JPG","R2032511","S","603 63 KEEFER PLACE","VVWDT","$342,000","2/9/2016","6","0","1","427","2000","16","Y","1","$231.41","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051754/0/120/90/064798e750aa5445897102a124752992/16/09a83e2e220fbc29971efc6762c74860/262051754.JPG","R2030127","S","203 1315 CARDERO STREET","VVWWE","$345,000","2/1/2016","20","1","1","620","1957","59","Y",,"$243.72","Apartment/Condo","PETN, RENN, SMKG"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026611/0/120/90/79f122a274107c227e1d293e12bd271b/16/21d83cba5b45f80321050623e94a82f5/262026611.JPG","R2004984","S","305 1246 CARDERO STREET","VVWWE","$345,000","9/30/2015","111","1","1","800","1949","67",,,"$299.00","Apartment/Condo","AGER, PETR, RENN"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262065304/0/120/90/724ba0e077a503956fc51c6a68f6c677/16/3885d71fafb98f31be45d7078d62af62/262065304.JPG","R2043677","S","806 1146 HARWOOD STREET","VVWWE","$347,000","3/4/2016","18","1","1","585","1976","40","Y",,"$284.50","Apartment/Condo","PETN, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262075005/0/120/90/a1f601b2f739f75c12136d06bd06a657/16/77720f2928d8415d31a656dff06cf4dc/262075005.JPG","R2053378","S","904 1330 HARWOOD STREET","VVWWE","$350,000","4/4/2016","8","1","1","620","1970","46","Y","1","$325.97","Apartment/Condo","PETR, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044795/0/120/90/9c8b6e3b12170ddef572ce0494d874d7/16/cad7a65de653cb4399c6a2095216933d/262044795.JPG","R2023168","S","1708 501 PACIFIC STREET","VVWDT","$350,000","1/4/2016","6","0","1","400","2000","16","Y","1","$215.89","Apartment/Condo","PETR, RENR"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074917/0/120/90/a4d1b28a9cbced2ec51e77bee8a770df/16/ac38f031ab5dce585c8ad2ed234a2754/262074917.JPG","R2053290","S","203 950 DRAKE STREET","VVWDT","$350,000","4/4/2016","1","1","1","543","1978","38","Y","0","$249.00","Apartment/Condo","PETN, RENR"
