"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042800/0/120/90/c207e1d45f03f7c6c1474c8333356eb1/16/66ea0c02b4c5e2222770a44bd0575a0d/262042800.JPG","R2021173","S","2701 1188 PENDER STREET","VVWCB","$1,090,000","12/17/2015","7","2","2","1,010","2008","8","Y","1","$479.17","Apartment/Condo","NO, PETY, RENY"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029302/0/120/90/c7a1b54d2abc59008cd3a38bc785a5c1/16/5a726cd7902b1ed421fb99e62d7393d1/262029302.JPG","R2007675","S","501 1238 HOMER STREET","VVWYA","$1,095,000","10/12/2015","37","2","2","1,422","1999","16","N","1","$779.91","Apartment/Condo","PETR, RENY"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041613/0/120/90/63f73811e66a77f13db27fd53104f90d/16/1dfa264d3eaedff90da31d0b2499ae99/262041613.JPG","R2019986","S","2404 1500 HORNBY STREET","VVWYA","$1,110,000","12/9/2015","5","2","2","1,008","1994","21","Y","1","$509.67","Apartment/Condo","PETR, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034190/0/120/90/f1fb458a0753ce91c81aaf97aebae5d8/16/ec19ce880b20df1d40b381b3b6948536/262034190.JPG","R2012563","S","2205 455 BEACH CRESCENT","VVWYA","$1,140,000","11/2/2015","1","2","2","1,038","2005","10",,"1","$426.41","Apartment/Condo","NO"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262022009/0/120/90/120d6a7563fb950cbea1e14b0fa419b5/16/53661999fdc6b5e377ccc28bfe756e7e/262022009.JPG","R2000382","S","3201 1028 BARCLAY STREET","VVWWE","$1,140,000","9/14/2015","49","2","2","1,222","2011","4",,"1","$471.55","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032987/0/120/90/dac8d001753f275ec9821a32ea487127/16/14fe10250c892fe70c95ff991a4e4e08/262032987.JPG","R2011360","S","604 1072 HAMILTON STREET","VVWYA","$1,148,000","10/26/2015","18","2","2","1,090","2000","15","Y","1","$541.00","Apartment/Condo","PETR, RENR"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041009/0/120/90/72f1e9db3e6a4229532effb5a734b7db/16/428a00c4e9c1cc45107dd65e75473d5a/262041009.JPG","R2019382","S","307 1178 HAMILTON STREET","VVWYA","$1,155,000","12/7/2015","4","2","2","1,250","1997","19",,"1","$600.00","Apartment/Condo","PETR, RENR"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025365/0/120/90/bf58cc3e90fa01bf1e619326b7f1475a/16/d083c0774a0413b780b5520a3667cca7/262025365.JPG","R2003738","S","2201 1189 MELVILLE STREET","VVWCB","$1,156,000","9/25/2015","44","2","2","1,165","2007","8","Y","2","$606.13","Apartment/Condo","PETY, RENY"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262016939/0/120/90/faeb98dbdc55abf6aca9f55e16567638/16/93b6322abaf0232298cd3d633897b5dc/262016939.JPG","V1143425","S","302 1650 BAYSHORE DRIVE","VVWCB","$1,165,000","9/9/2015","59","2","3","1,428","2003","12","Y","2","$747.54","Apartment/Condo","PETR, RENN"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042139/0/120/90/ea8e0675abd71993814049ff5802cfd5/16/0b298315c90d16b923ba8f4246421b1f/262042139.JPG","R2020512","S","3301 1188 W PENDER STREET","VVWCB","$1,170,000","12/14/2015","8","2","2","1,010","2008","8","Y","1","$485.36","Apartment/Condo","PETR, RENR"
