"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262097765/0/120/90/d7cc794876d0e7279df71a1d1b175b22/16/19bff2f000416b1da8c28963f3ee6155/262097765.JPG","R2076138","S","2002 63 KEEFER PLACE","VVWDT","$649,900","6/2/2016","6","2","2","881","2000","16","Y","1","$478.62","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115635/0/120/90/09aeb4847506eca575a0e24d0a7d673f/16/00f14287d02bd62f72f2a99fab59fa7d/262115635.JPG","R2094008","S","3015 777 RICHARDS STREET","VVWDT","$650,000","7/22/2016","6","1","1","543","2016","0","Y","0","$264.55","Apartment/Condo","NO, PETY, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262120916/0/120/90/01ae98e5e52776d4206b2053f791252e/16/efeb3cf514367805830024ecffe08d77/262120916.JPG","R2099289","S","2201 108 W CORDOVA STREET","VVWDT","$650,000","8/9/2016","6","1","1","780","2009","7",,"1","$432.50","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262136218/0/120/90/1aeeb30adc9fe3fdce5a02023f72f537/16/8887155d568c1c5905ea69163c4d1536/262136218.JPG","R2114591","S","2001 2055 PENDRELL STREET","VVWWE","$650,000","10/5/2016","20","1","1","688","1965","51","Y","1","$439.29","Apartment/Condo","AGER, PETR, RENN"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262084110/0/120/90/718c448e21676f4f59940769172a2de9/16/5ed9df2fa35d18f8964e813f091c2452/262084110.JPG","R2062483","S","1609 939 HOMER STREET","VVWYA","$650,000","4/21/2016","15","2","1","771","1997","19","Y","1","$364.03","Apartment/Condo","PETR, RENY"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262089133/0/120/90/1d928b45f78a93ebfc535dea665166e5/16/c8d699aadc984ac48772c5a3b65f920d/262089133.JPG","R2067506","S","2002 939 HOMER STREET","VVWDT","$650,000","5/10/2016","0","2","1","771","1997","19","Y","1","$383.47","Apartment/Condo","PETR, RENY"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262108750/0/120/90/5b8e973cafa30938e723f5a83f8d135e/16/0f0e3a29550c91bb44be04b4035419c3/262108750.JPG","R2087123","S","711 928 BEATTY STREET","VVWYA","$650,000","7/4/2016","9","1","1","615","2005","11","Y","1","$330.83","Apartment/Condo","PETR, RENR"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262091138/0/120/90/95f4ddb1fa460ea5ee5995e7bc477323/16/4dbc2064828bf787a84692e16b3c3ba3/262091138.JPG","R2069511","S","1107 1205 HOWE STREET","VVWDT","$650,000","5/16/2016","8","1","1","604","2010","6","Y","1","$287.01","Apartment/Condo","PETR, RENY"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113139/0/120/90/ec4148c2acf8b922c05816c147b82454/16/d471083fdd0ad3a51719de568b0f86a7/262113139.JPG","R2091512","S","501 918 COOPERAGE WAY","VVWYA","$650,000","7/14/2016","4","1","1","658","2008","8","N","1","$288.88","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122517/0/120/90/5959d3228ecdf20c1eef0cda6be4c23e/16/578cddcdba66449dc1fe20c4ebad5020/262122517.JPG","R2100890","S","802 1331 W GEORGIA STREET","VVWCB","$650,000","8/15/2016","62","1","1","623","1997","19",,"1","$405.87","Apartment/Condo","NO"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262086608/0/120/90/bf1c1428910e941e7bb48703bd92372a/16/81c33059582b10a1dd9d2717f6d36018/262086608.JPG","R2064981","S","1002 688 ABBOTT STREET","VVWDT","$651,000","5/2/2016","35","2","2","891","2007","9","N","1","$412.09","Apartment/Condo","NO"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262107946/0/120/90/9a585514882b0e2e672c9d8b3b4660c1/15/bf4d5e62f2edc01bcd743eaba3a8bf8a/262107946.JPG","R2086319","S","906 488 HELMCKEN STREET","VVWYA","$651,000","7/4/2016","4","2","2","883","1995","21","Y","1","$438.85","Apartment/Condo","PETR, RENY"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262110649/0/120/90/b4fb454dcdb0835f0190697d8d102ce0/16/0e8dc467562f5c4992a9614e7855fe73/262110649.JPG","R2089022","S","1103 1212 HOWE STREET","VVWDT","$653,000","7/7/2016","25","2","2","787","2008","8","Y","1","$350.57","Apartment/Condo","PETY, RENY"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262095092/0/120/90/44e98160a375d8b819069040674ba38b/16/cf68b417399706c976ee6b57fadb83dd/262095092.JPG","R2073465","S","704 1238 BURRARD STREET","VVWDT","$653,000","5/25/2016","6","2","2","877","2003","13","Y",,"$416.93","Apartment/Condo","RENY"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2103750","S","2615 777 RICHARDS STREET","VVWDT","$653,800","8/24/2016","1","1","1","543","2016","0",,"0","$264.55","Apartment/Condo","NO"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262127365/0/120/90/eff79d1bcbbebc75603a82444bc2511f/16/0b8c477a27d25837bccf62e65c677057/262127365.JPG","R2105738","S","402 1500 PENDRELL STREET","VVWWE","$654,500","9/6/2016","2","1","1","770","1978","38","Y",,"$351.15","Apartment/Condo","PETR, RENR"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262094717/0/120/90/17f62b4272b418e095f6172434bb8366/16/bc2602a7d1d600ef15bc151eba7ef091/262094717.JPG","R2073090","S","908 821 CAMBIE STREET","VVWDT","$655,000","5/25/2016","6","1","1","691","2008","8",,"1","$299.81","Apartment/Condo","PETR, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262099004/0/120/90/b4dede255545e5a58f0981609fedd742/16/05b4a5f21ff9d38ae8f735b7b36f97d6/262099004.JPG","R2077377","S","324 1133 HOMER STREET","VVWYA","$655,000","6/6/2016","9","2","2","810","2008","8","N",,"$309.94","Apartment/Condo","PETY, RENY"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262083790/0/120/90/f50a5ccbdf8b76df0816bc10221e2f68/16/776e45a9e3751710e4bdca28fe9a3621/262083790.JPG","R2062163","S","306 1080 BROUGHTON STREET","VVWWE","$655,000","4/26/2016","6","2","2","840","1982","34","Y","1","$285.67","Apartment/Condo","PETY, RENY"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103567/0/120/90/9007ed1185a91cc93981613556135bb0/16/8e859379ea7ec8e7b100c2bf327f801e/262103567.JPG","R2081940","S","502 1082 SEYMOUR STREET","VVWDT","$655,000","6/17/2016","11","1","1","675","2006","10","N","1","$315.23","Apartment/Condo","PETR, RENR"
