"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161425/0/120/90/a8d93c9790bff875e2c8ddebe7c96226/16/99a2b9446850ce70fcabd113b9771a80/262161425.JPG","R2139798","S","308 2215 DUNDAS STREET","VVEHA","$379,000","2/18/2017","5","1","1","573","1983","34","Y","1","$210.50","Apartment/Condo","PETR, RENY","1","4","Vancouver East","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262160834/0/120/90/f33b7f7ee267135adadab9b4891ba2fc/16/c56a0a514db27780b9dfe1f35e808cd0/262160834.JPG","R2139207","S","H101 1400 ALTA LAKE ROAD","VWHCR","$379,000","2/14/2017","3","1","1","650","1975","42",,"1","$355.45","Apartment/Condo","PETR, RENR","1","4","Whistler","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156665/0/120/90/5aa1001161c9b9b35ebce79c257d1e1d/16/8f3fcd89f793bf8071f6e80abfd497f7/262156665.JPG","R2135038","S","307 131 W 4TH STREET","VNVLL","$379,250","1/30/2017","7","1","1","666","1973","44","Y","1","$313.42","Apartment/Condo","PETY, RENY","1","6","North Vancouver","1","0"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158216/0/120/90/ae6c29b9e605c4d8fc24a62a61ba1c7d/16/898dd2646333d6d8f6505dc53190e5a1/262158216.JPG","R2136589","S","39 19060 FORD ROAD","VPICM","$380,000","2/3/2017","3","2","2","1,353","1991","26",,"2","$230.00","Townhouse","PETR, RENN","1","7","Pitt Meadows","2","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158694/0/120/90/d8fa85ccd6fa9a2214912409eb801403/16/075fb89bb5bbe06826138d9aca19d0d7/262158694.JPG","R2137067","S","404 1050 CHILCO STREET","VVWWE","$380,000","2/2/2017","10","1","1","600","1957","60","Y","0","$267.16","Apartment/Condo","PETN, RENN","1","3","Vancouver West","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156467/0/120/90/74ccb5d19b03032b972e47213282241b/16/b2cf5093e5ff8f83b07d350e6febe52e/262156467.JPG","R2134840","S","201 2133 DUNDAS STREET","VVEHA","$380,000","1/24/2017","16","2","1","839","1993","24","N","1","$353.48","Apartment/Condo","PETR, RENR","1","8","Vancouver East","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157533/0/120/90/4f31dedd6319b93f7b154224e7225f61/16/53adb3d232fd626b41900fee863be94f/262157533.JPG","R2135906","S","107 7080 NO 3 ROAD","VRI61","$380,000","2/1/2017","4","1","2","698","2009","8","Y","1","$288.63","Apartment/Condo","PETR, RENR","1","5","Richmond","1","1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159155/0/120/90/172868169941ee4822b43816d3b70a08/16/ba2fcf240f2617731e1ad25a327ed699/262159155.JPG","R2137528","S","1302 248 SHERBROOKE STREET","VNWSA","$380,000","2/6/2017","7","2","2","805","2008","9","Y","2","$255.00","Apartment/Condo","PETR, RENR","1","5","New Westminster","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159742/0/120/90/b7d6b272afcb13db268bd20644703962/16/1394c8a1fc81faa0a58fb8dd111de13d/262159742.JPG","R2138115","S","318 5665 BOUNDARY ROAD","VVECO","$380,000","2/9/2017","7","1","1","495","2016","1","Y","1","$211.78","Apartment/Condo","PETY, RENY, SMKG","1","7","Vancouver East","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156970/0/120/90/52b04ba639dfdf2a7b446789ab5bba8f/15/ca983a53cd1a0954780be73e7c8db217/262156970.JPG","R2135343","S","2217 244 SHERBROOKE STREET","VNWSA","$380,999","1/30/2017","3","2","2","1,126","2009","8","N","1","$357.79","Apartment/Condo","PETR, RENR","1","5","New Westminster","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161259/0/120/90/8e1c7698337aeb776c9b78bba69b8715/16/01543028e55d1963d3cd55388d9ec64d/262161259.JPG","R2139632","S","1305 6651 MINORU BOULEVARD","VRI60","$382,000","2/17/2017","1","2","2","1,072","1976","41","Y","1","$385.00","Apartment/Condo","AGER, PETN, RENN","1","5","Richmond","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156769/0/120/90/96dae39411a661f4e8980e1788fde7ab/16/e8253a37e3ba279db78f4fda08279472/262156769.JPG","R2135142","S","309 400 CAPILANO ROAD","VPMPM","$382,000","1/30/2017","7","1","1","672","2008","9","Y","1","$214.90","Apartment/Condo","PETR","1","5","Port Moody","1","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142085/0/120/90/5815784db26fbf696a43579122a73f2b/16/f425cfef2d93fb177ccd1bdfc7c83318/262142085.JPG","R2120458","S","501 2220 KINGSWAY","VVEVI","$382,000","10/31/2016","117","1","1","561","2017","0",,,"$216.98","Apartment/Condo","NO","1","5","Vancouver East","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262160299/0/120/90/47f2fa88aea3744d6883ef86e24fd2f1/16/49180e2521fa08b3114ea24899e8dddf/262160299.JPG","R2138672","S","1108 6595 WILLINGDON AVENUE","VBSME","$382,000","2/14/2017","6","1","1","711","1983","34","Y","1","$198.00","Apartment/Condo","RENN","1","5","Burnaby South","1","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159726/0/120/90/d65651a003a4451abb3b2dfedcaebc72/16/e64bfc6c5be6fa9aa450349ea6d26fa8/262159726.JPG","R2138099","S","20 728 W 14TH STREET","VNVHM","$382,500","2/10/2017","7","1","1","587","2008","9",,,"$159.80","Townhouse","NO","1","4","North Vancouver","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157526/0/120/90/46bc420c499a6cc16f58945d0b0eec82/16/0b8276a1f41700549f8bc271532a9809/262157526.JPG","R2135899","S","1103 3007 GLEN DRIVE","VCQNC","$383,000","2/1/2017","6","1","1","609","2015","2","Y",,"$225.00","Apartment/Condo","PETR, RENY","1","5","Coquitlam","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262162169/0/120/90/821a06444e6eb72c6178eeb0fba22705/16/b6f44b56a87f49260de870d891c3d9e8/262162169.JPG","R2140542","S","205 3183 ESMOND AVENUE","VBNCB","$383,888","2/21/2017","7","1","1","766","1994","23","Y","1","$268.81","Apartment/Condo","PETR, RENY","1","6","Burnaby North","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262162464/0/120/90/1ec050fa82a05af72331f03d34688b23/16/ef9e5860ccd0cb3373a315a7dc00e1d0/262162464.JPG","R2140837","S","101 550 E 7TH AVENUE","VVEMP","$385,000","2/22/2017","5","1","1","500","1976","41","Y","1","$186.00","Apartment/Condo","PETR, RENR","1","4","Vancouver East","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157650/0/120/90/e2eb7ce0de7e4d6496e433924b040c0a/16/bf825b3901d80272d2328b396f0203af/262157650.JPG","R2136023","S","224 3122 ST JOHNS STREET","VPMPM","$385,000","2/1/2017","6","2","2","872","1998","19","Y","1","$344.12","Apartment/Condo","PETR, RENY","1","5","Port Moody","2","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158934/0/120/90/87241c798625f29b37a71fdebc70c94b/16/5d9ee3e1c8046c8189d4181182ba6b5e/262158934.JPG","R2137307","S","312 330 E 1ST STREET","VNVLL","$387,025","2/7/2017","7","1","1","660","1976","41","Y","1","$288.47","Apartment/Condo","PETR, RENY","1","6","North Vancouver","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155697/0/120/90/996b7851ee75606f4a2b308d62f9be79/16/59dcbfd87d6962d19bec35ff72618b62/262155697.JPG","R2134070","S","206 12525 190A STREET","VPIMM","$388,500","1/24/2017","33","2","2","920","2011","6","Y","2","$225.00","Apartment/Condo","PETR, RENY","1","5","Pitt Meadows","2","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161664/0/120/90/b49b3d7fec8778fddde4420749b9916d/16/17f81133522bf60e2e85d444417f8e73/262161664.JPG","R2140037","S","1105 2004 FULLERTON AVENUE","VNVPN","$388,800","2/20/2017","2","2","1","761","1975","42","Y","1","$387.09","Apartment/Condo","PETN, RENY","1","4","North Vancouver","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157279/0/120/90/9f65286b0a128a50b3254e9fb22cc120/16/e873b4ec254d73b4cc944c919f46befc/262157279.JPG","R2135652","S","118 9199 TOMICKI AVENUE","VRI12","$389,000","1/30/2017","3","1","1","660","2009","8","N","3","$211.50","Apartment/Condo","PETY, RENR","1","4","Richmond","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262163174/0/120/90/6505cf7e84669cc3dc7175291766dd9c/16/eaf32f2e34fda9ba269aed637f8b987c/262163174.JPG","R2141547","S","1 551 AUSTIN AVENUE","VCQCW","$389,000","2/23/2017","5","1","2","968","1992","25","Y",,"$251.59","Apartment/Condo","RENY","1","4","Coquitlam","2","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161514/0/120/90/67a08ce91c94b9e22195403c54c56a7a/16/b8ae0b28c8725300eb3fc4b7c4714730/262161514.JPG","R2139887","S","9 5780 TRAIL AVENUE","VSCSD","$389,000","2/20/2017","1","1","2","1,181","2009","8","N","2","$295.00","Apartment/Condo","PETR, RENN","1","6","Sunshine Coast","1","1"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262140356/0/120/90/eb4c930e66a6564cdc2d2f9e541e07df/16/9d525315834f65f5b3b7ffb7d401b582/262140356.JPG","R2118729","S","1011 6200 RIVER ROAD","VRI60","$389,000","10/24/2016","103","1","1","542","2014","3",,"1","$206.20","Apartment/Condo","PETR, RENY","1","3","Richmond","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262160390/0/120/90/c4994c374ed13744f9aef42e22d514ee/16/f6b6e61b900e83934ba66d0ccd3a1965/262160390.JPG","R2138763","S","308 1432 PARKWAY BOULEVARD","VCQWP","$389,000","2/14/2017","3","2","2","832","1998","19","N",,"$295.00","Apartment/Condo","PETR, RENY","1","6","Coquitlam","2","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161662/0/120/90/df53eedf976c47fd7a15a813c9792690/16/26f9caa5df7ce88e5ec1b87b69fc1248/262161662.JPG","R2140035","S","405 19106 MCMYN ROAD","VPIMM","$389,900","2/18/2017","2","2","2","866","2018","0","N","1","$128.49","Apartment/Condo","PETR, RENY","1","7","Pitt Meadows","2","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152028/0/120/90/979b41346237f91a6d89ed1cecd140cb/16/1d3258f68ed81e1421fb4600fd7ad06a/262152028.JPG","R2130401","S","411 12525 190A STREET","VPIMM","$389,900","1/9/2017","35","2","2","920","2011","6","Y","2","$225.00","Apartment/Condo","PETR, RENY","1","5","Pitt Meadows","2","0"
